2024-12-29 14:48:00, Close: 94372.78, PredictedChange:, -0.1544, PredictedValue:, 94518.45, Signal: Buy 
2024-12-29 14:49:00, Close: 94343.43, PredictedChange:, -0.1311, PredictedValue:, 94467.15, Signal: Hold 
2024-12-29 14:50:00, Close: 94349.16, PredictedChange:, -0.1213, PredictedValue:, 94463.59, Signal: Hold 
2024-12-29 14:51:00, Close: 94456.02, PredictedChange:, -0.2800, PredictedValue:, 94720.46, Signal: Buy 
2024-12-29 14:52:00, Close: 94612.58, PredictedChange:, -0.4208, PredictedValue:, 95010.68, Signal: Buy 
2024-12-29 14:53:00, Close: 94759.18, PredictedChange:, -0.5688, PredictedValue:, 95298.18, Signal: Buy 
2024-12-29 14:54:00, Close: 94658.92, PredictedChange:, -0.4582, PredictedValue:, 95092.61, Signal: Buy 
2024-12-29 14:55:00, Close: 94677.67, PredictedChange:, -0.4770, PredictedValue:, 95129.31, Signal: Buy 
2024-12-29 14:56:00, Close: 94620.37, PredictedChange:, -0.3563, PredictedValue:, 94957.54, Signal: Buy 
2024-12-29 14:58:00, Close: 94652.23, PredictedChange:, -0.3010, PredictedValue:, 94937.13, Signal: Buy 
2024-12-29 14:59:00, Close: 94609.52, PredictedChange:, -0.2506, PredictedValue:, 94846.57, Signal: Buy 
2024-12-29 15:00:00, Close: 94637.38, PredictedChange:, -0.3130, PredictedValue:, 94933.60, Signal: Buy 
2024-12-29 15:01:00, Close: 94688.57, PredictedChange:, -0.3538, PredictedValue:, 95023.54, Signal: Buy 
2024-12-29 15:02:00, Close: 94592.02, PredictedChange:, -0.1444, PredictedValue:, 94728.59, Signal: Buy 
2024-12-29 15:03:00, Close: 94599.45, PredictedChange:, 0.0140, PredictedValue:, 94586.17, Signal: Hold 
2024-12-29 15:04:00, Close: 94611.99, PredictedChange:, 0.1491, PredictedValue:, 94470.90, Signal: Sell 
2024-12-29 15:05:00, Close: 94511.98, PredictedChange:, 0.1536, PredictedValue:, 94366.80, Signal: Sell 
2024-12-29 15:06:00, Close: 94551.00, PredictedChange:, 0.1306, PredictedValue:, 94427.49, Signal: Sell 
2024-12-29 15:07:00, Close: 94431.66, PredictedChange:, 0.1964, PredictedValue:, 94246.23, Signal: Sell 
2024-12-29 15:08:00, Close: 94463.19, PredictedChange:, 0.1989, PredictedValue:, 94275.32, Signal: Sell 
2024-12-29 15:09:00, Close: 94508.01, PredictedChange:, 0.1074, PredictedValue:, 94406.52, Signal: Sell 
2024-12-29 15:10:00, Close: 94495.87, PredictedChange:, 0.1492, PredictedValue:, 94354.91, Signal: Sell 
2024-12-29 15:11:00, Close: 94538.17, PredictedChange:, 0.1598, PredictedValue:, 94387.12, Signal: Sell 
2024-12-29 15:12:00, Close: 94525.53, PredictedChange:, 0.0723, PredictedValue:, 94457.17, Signal: Hold 
2024-12-29 15:13:00, Close: 94510.50, PredictedChange:, 0.0941, PredictedValue:, 94421.59, Signal: Sell 
2024-12-29 15:14:00, Close: 94480.54, PredictedChange:, 0.1392, PredictedValue:, 94349.00, Signal: Sell 
2024-12-29 15:15:00, Close: 94505.11, PredictedChange:, 0.0077, PredictedValue:, 94497.81, Signal: Hold 
2024-12-29 15:16:00, Close: 94522.21, PredictedChange:, 0.0322, PredictedValue:, 94491.73, Signal: Hold 
2024-12-29 15:17:00, Close: 94571.42, PredictedChange:, -0.1458, PredictedValue:, 94709.31, Signal: Buy 
2024-12-29 15:18:00, Close: 94522.15, PredictedChange:, -0.0609, PredictedValue:, 94579.74, Signal: Hold 
2024-12-29 15:19:00, Close: 94571.99, PredictedChange:, -0.0667, PredictedValue:, 94635.06, Signal: Hold 
2024-12-29 15:20:00, Close: 94522.33, PredictedChange:, -0.0274, PredictedValue:, 94548.26, Signal: Hold 
2024-12-29 15:21:00, Close: 94532.00, PredictedChange:, 0.0044, PredictedValue:, 94527.84, Signal: Hold 
2024-12-29 15:22:00, Close: 94535.01, PredictedChange:, -0.0087, PredictedValue:, 94543.24, Signal: Hold 
2024-12-29 15:23:00, Close: 94562.99, PredictedChange:, -0.0556, PredictedValue:, 94615.53, Signal: Hold 
2024-12-29 15:24:00, Close: 94584.79, PredictedChange:, -0.1104, PredictedValue:, 94689.19, Signal: Hold 
2024-12-29 15:25:00, Close: 94568.39, PredictedChange:, -0.0669, PredictedValue:, 94631.63, Signal: Hold 
2024-12-29 15:26:00, Close: 94604.73, PredictedChange:, -0.0868, PredictedValue:, 94686.83, Signal: Hold 
2024-12-29 15:27:00, Close: 94600.01, PredictedChange:, -0.0305, PredictedValue:, 94628.82, Signal: Hold 
2024-12-29 15:28:00, Close: 94601.21, PredictedChange:, -0.0823, PredictedValue:, 94679.06, Signal: Hold 
2024-12-29 15:29:00, Close: 94640.00, PredictedChange:, -0.0728, PredictedValue:, 94708.86, Signal: Hold 
2024-12-29 15:30:00, Close: 94628.41, PredictedChange:, -0.1127, PredictedValue:, 94735.01, Signal: Hold 
2024-12-29 15:31:00, Close: 94672.83, PredictedChange:, -0.1484, PredictedValue:, 94813.28, Signal: Buy 
2024-12-29 15:32:00, Close: 94741.51, PredictedChange:, -0.2172, PredictedValue:, 94947.28, Signal: Buy 
2024-12-29 15:33:00, Close: 94750.00, PredictedChange:, -0.1972, PredictedValue:, 94936.84, Signal: Buy 
2024-12-29 15:34:00, Close: 94717.73, PredictedChange:, -0.1422, PredictedValue:, 94852.40, Signal: Buy 
2024-12-29 15:35:00, Close: 94687.99, PredictedChange:, -0.1264, PredictedValue:, 94807.72, Signal: Hold 
2024-12-29 15:36:00, Close: 94689.43, PredictedChange:, -0.0890, PredictedValue:, 94773.71, Signal: Hold 
2024-12-29 15:37:00, Close: 94670.49, PredictedChange:, -0.0746, PredictedValue:, 94741.08, Signal: Hold 
2024-12-29 15:38:00, Close: 94654.61, PredictedChange:, -0.0563, PredictedValue:, 94707.93, Signal: Hold 
2024-12-29 15:39:00, Close: 94667.99, PredictedChange:, -0.0311, PredictedValue:, 94697.43, Signal: Hold 
2024-12-29 15:40:00, Close: 94665.15, PredictedChange:, -0.0385, PredictedValue:, 94701.56, Signal: Hold 
2024-12-29 15:41:00, Close: 94658.68, PredictedChange:, 0.0153, PredictedValue:, 94644.22, Signal: Hold 
2024-12-29 15:42:00, Close: 94650.00, PredictedChange:, 0.0985, PredictedValue:, 94556.77, Signal: Sell 
2024-12-29 15:43:00, Close: 94683.95, PredictedChange:, 0.0679, PredictedValue:, 94619.67, Signal: Hold 
2024-12-29 15:44:00, Close: 94699.99, PredictedChange:, 0.0197, PredictedValue:, 94681.31, Signal: Hold 
2024-12-29 15:45:00, Close: 94690.98, PredictedChange:, -0.0027, PredictedValue:, 94693.55, Signal: Hold 
2024-12-29 15:46:00, Close: 94648.52, PredictedChange:, 0.0430, PredictedValue:, 94607.85, Signal: Hold 
2024-12-29 15:47:00, Close: 94672.82, PredictedChange:, -0.0027, PredictedValue:, 94675.37, Signal: Hold 
2024-12-29 15:48:00, Close: 94683.98, PredictedChange:, -0.0315, PredictedValue:, 94713.81, Signal: Hold 
2024-12-29 15:49:00, Close: 94727.99, PredictedChange:, -0.0638, PredictedValue:, 94788.45, Signal: Hold 
2024-12-29 15:50:00, Close: 94766.78, PredictedChange:, -0.1065, PredictedValue:, 94867.68, Signal: Hold 
2024-12-29 15:51:00, Close: 94747.26, PredictedChange:, -0.0943, PredictedValue:, 94836.63, Signal: Hold 
2024-12-29 15:52:00, Close: 94743.63, PredictedChange:, -0.0988, PredictedValue:, 94837.21, Signal: Hold 
2024-12-29 15:53:00, Close: 94735.21, PredictedChange:, -0.0536, PredictedValue:, 94786.02, Signal: Hold 
2024-12-29 15:54:00, Close: 94700.00, PredictedChange:, -0.0001, PredictedValue:, 94700.09, Signal: Hold 
2024-12-29 15:55:00, Close: 94683.24, PredictedChange:, 0.0072, PredictedValue:, 94676.40, Signal: Hold 
2024-12-29 15:56:00, Close: 94689.22, PredictedChange:, -0.0424, PredictedValue:, 94729.40, Signal: Hold 
2024-12-29 15:57:00, Close: 94672.82, PredictedChange:, 0.0007, PredictedValue:, 94672.16, Signal: Hold 
2024-12-29 15:58:00, Close: 94636.59, PredictedChange:, 0.0528, PredictedValue:, 94586.61, Signal: Hold 
2024-12-29 15:59:00, Close: 94511.12, PredictedChange:, 0.2279, PredictedValue:, 94295.77, Signal: Sell 
2024-12-29 16:00:00, Close: 94578.89, PredictedChange:, 0.1994, PredictedValue:, 94390.30, Signal: Sell 
2024-12-29 16:01:00, Close: 94560.79, PredictedChange:, 0.1985, PredictedValue:, 94373.05, Signal: Sell 
2024-12-29 16:02:00, Close: 94528.00, PredictedChange:, 0.2258, PredictedValue:, 94314.54, Signal: Sell 
